Code,CoreRate,Cache,MemoryBandwidth,fp16,vulkan,es,ASTC LDR,ASTC HDR
304,400,96,3,38.4,0,3,,
305Gen1,400,256,3.2,38.4,0,3,,
305Gen2,400,128,4.2,38.4,0,3,,
306,400,128,4.2,38.4,0,3,Yes,
308,500,128,5.3,48,0,3,,
320Gen1,400,512,8.5,102.4,0,3,,
320Gen2,400,512,9.6,153.6,0,3,,
330,450,1024,12.8,230.4,0,3,,
405,550,256,5.3,105.6,0,3.1,Yes,
418,600,512,14.9,307.2,1,3.1,Yes,
420,500,1536,25.6,256,1,3.1,Yes,
430,500,1536,25.6,512,1,3.1,Yes,
504,450,128,6.4,64,1,3.1,Yes,
505,450,128,6.4,86.4,1,3.1,Yes,
506,600,128,7.4,230.4,1,3.1,Yes,
508,650,128,10.6,332.8,1,3.1,Yes,
509,720,256,21.3,368.6,1,3.1,Yes,
510,600,256,14.9,307.2,1,3.1,Yes,
512,650,256,29.8,332.8,1,3.1,Yes,
530,510,1024,29.8,522.2,1,3.1,Yes,
540,710,1024,29.8,1090.5,1,3.1,Yes,
605,,128,,,1.1,3.2,Yes,
608,,,17,,1.1,3.2,Yes,
610,600,,,307.2,1.1,3.2,Yes,
612,745,256,14.9,572.1,1.1,3.2,Yes,
615,700,512,14.9,716.8,1.1,3.2,Yes,
616,750,512,14.9,768,1.1,3.2,Yes,
618,700,512,14.9,716.8,1.1,3.2,Yes,
619L,950,512,17,972.8,1.1,3.2,Yes,
619,825,512,17,844.8,1.1,3.2,Yes,
620,625,512,17,960,1.1,3.2,Yes,
630,710,1024,29.8,1454,1.1,3.2,Yes,
640,585,1024,34.1,1797.1,1.1,3.2,Yes,
642L,490,1024,17,1505.2,1.1,3.2,Yes,
642,490,1024,17,1505.2,1.1,3.2,Yes,
643L,812,,34.1,2494.4,1.1,3.2,Yes,
650,587,,34.1,2404.3,1.1,3.2,Yes,
660,792,,51.2,3244,1.1,3.2,Yes,
675,590,,34.1,3171.8,1.1,3.2,Yes,
680,600,,68.2,3686.4,1.1,3.2,Yes,
685,590,,68.2,3624.9,1.1,3.2,Yes,
690,680,,68.2,4177.9,1.1,3.2,Yes,
702,845,,14.9,2595.8,1.1,3.1,Yes,
725,580,1024,64,3563.5,1.1,3.2,Yes,
730,818,1024,64,5025.7,1.1,3.2,Yes,
740,680,,64,6953.2,1.1,3.2,Yes,
