Brand,Code,CoreMin,CoreMax,Cache,fp32,vulkan,es,ASTC LDR,ASTC HDR
Mali,T604,1,4,32,17,0,3.1,,
Mali,T658,1,8,32,,0,3.1,,
Mali,T622,1,2,32,8.5,0,3.1,,
Mali,T624,1,4,32,17,0,3.1,,
Mali,T628,1,8,32,17,0,3.1,,
Mali,T678,1,8,32,17,0,3.1,,
Mali,T720,1,8,256,6.8,1,3.1,,
Mali,T760,1,16,256,17,1,3.1,,
Mali,T820,1,4,32,10.2,1,3.1,,
Mali,T830,1,4,32,20.4,1,3.1,,
Mali,T860,1,16,32,11.9,1,3.1,,
Mali,T880,1,16,256,22.1,1,3.1,,
Mali,G31,1,6,32,10.4,1.3,3.2,Yes,
Mali,G51,1,6,32,20.8,1.3,3.2,Yes,
Mali,G71,1,32,128,18.56,1.3,3.2,,
Mali,G52,1,4,32,27.2,1.3,3.2,,
Mali,G72,1,32,128,20.55,1.3,3.2,,
Mali,G76,4,20,512,43.2,1.3,3.2,,
Mali,G57,1,6,64,121.6,1.3,3.2,,
Mali,G77,7,16,512,88.92,1.3,3.2,,
Mali,G68,4,6,512,121,1.3,3.2,,
Mali,G78,7,24,512,97.15,1.3,3.2,,
Mali,G310,1,4,256,,1.3,3.2,,
Mali,G510,2,6,256,,1.3,3.2,,
Mali,G610,1,6,512,,1.3,3.2,,
Mali,G710,7,16,512,73,1.3,3.2,,
Mali,G615,1,6,512,,1.3,3.2,,
Mali,G715,7,9,512,,1.3,3.2,,
Mali,Immortalis-G715,10,16,512,329.6,1.3,3.2,,
Mali,G620,1,5,256,,1.3,3.2,,
Mali,G720,6,9,512,,1.3,3.2,,
Mali,Immortalis-G720,10,32,512,,1.3,3.2,,
