Code,fp32,vulkan,es,ASTC LDR,ASTC HDR
GE8100,16,1.3,3.2,Yes,
GE8200,16,1.1,3.2,,
GE8300,32,1.1,3.2,Yes,
GE8310,32,1.1,3.2,,
GE8320,64,1.1,3.2,Yes,
GE8322,,,,Yes,
GE8325,64,1.1,3.2,,
GE8340,128,1.1,3.2,,
GE8430,128,1.1,3.2,,
,,,,,
GE9000,16,1.1,3.2,,
GE9100,16,1.1,3.2,,
GE9115,32,1.1,3.2,,
GE9210,32,1.1,3.2,,
GE9215,32,1.1,3.2,,
GE9420,64,1.1,3.2,,
GE9608,32,1.1,3.2,,
GE9610,32,1.1,3.2,,
GE9710,32,1.1,3.2,,
GE9920,64,1.1,3.2,,
,,,,,
GM9125,64,1.1,3.2,,
GM9220,64,1.1,3.2,,
GM9226,64,1.1,3.2,,
GM9240,128,1.1,3.2,,
GM9446,128,1.1,3.2,Yes,
GM9740,128,1.1,3.2,,
,,,,,
GT7400,,,,Yes,
GT8525,192,1.1,3.2,,
,,,,,
GT8540,384,1.1,3.2,,
GT9524,240,1.1,3.2,,
,,,,,
GX6250,,,,Yes,
Marlowe,,,,Yes,
