,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
Qualcomm,MSM8227,,2012.2H,Adreno,305,1,320,,,,,,,Krait,2,1,,,
Qualcomm,MSM8627,,2012.2H,Adreno,305,1,320,,,,,,,Krait,2,1,,,
Qualcomm,APQ8030,,2012.3Q,Adreno,305,1,400,,,,,,,Krait,2,1.2,,,
Qualcomm,MSM8230,,2012.3Q,Adreno,305,1,400,,,,,,,Krait,2,1.2,,,
Qualcomm,MSM8630,,2012.3Q,Adreno,305,1,400,,,,,,,Krait,2,1.2,,,
Qualcomm,MSM8930,,2012.3Q,Adreno,305,1,400,,,,,,,Krait,2,1.2,,,
Qualcomm,MSM8260A Pro,,,Adreno,320,1,400,,,,,,,Krait 300,2,1.7,,,
Qualcomm,MSM8960T,,2012.2Q,Adreno,320,1,400,,,,,,,Krait 300,2,1.7,,,
Qualcomm,MSM8960T Pro,,,Adreno,320,1,400,,,,,,,Krait 300,2,1.7,,,
Qualcomm,MSM8960AB,,,Adreno,320,1,400,,,,,,,Krait 300,2,1.7,,,
Qualcomm,MSM8960DT,,2013.3Q,Adreno,320,1,400,,,,,,,Krait 300,2,1.7,,,
Qualcomm,APQ8064,,2012,Adreno,320,1,400,,,,,,,Krait 300,4,1.5,,,
Qualcomm,MSM8210,Snapdragon 200,2013,Adreno,302,1,400,,,,,,,A7,2,1.2,,,
Qualcomm,MSM8610,Snapdragon 200,2013,Adreno,302,1,400,,,,,,,A7,2,1.2,,,
Qualcomm,MSM8212,Snapdragon 200,2013,Adreno,302,1,400,,,,,,,A7,4,1.2,,,
Qualcomm,MSM8612,Snapdragon 200,2013,Adreno,302,1,400,,,,,,,A7,4,1.2,,,
Qualcomm,MSM8905,Snapdragon 205,2017,Adreno,304,1,400,,,,,,,A7,2,1.1,,,
Qualcomm,MSM8208,Snapdragon 208,2014,Adreno,304,1,400,,,,,,,A7,2,1.1,,,
Qualcomm,MSM8909,Snapdragon 210,2014,Adreno,304,1,400,,,,,,,A7,4,1.1,,,
Qualcomm,MSM8908AA,Snapdragon 212,2015,Adreno,304,1,400,,,,,,,A7,4,1.3,,,
Qualcomm,QM215,Snapdragon 215,2019.3Q,Adreno,308,1,400,,,,,,,A53,4,1.3,,,
Qualcomm,APQ8026,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.2,,,
Qualcomm,MSM8226,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.2,,,
Qualcomm,MSM8626,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.2,,,
Qualcomm,MSM8926,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.2,,,
Qualcomm,APQ8028,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.6,,,
Qualcomm,MSM8228,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.6,,,
Qualcomm,MSM8628,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.6,,,
Qualcomm,MSM8928,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,A7,4,1.6,,,
Qualcomm,MSM8230,Snapdragon 400,2013,Adreno,305,1,400,,,,,,,Krait 200,2,1.2,,,
